Date,Open,High,Low,Close,Adj Close,Volume
2018-12-12,62.959999,64.889999,62.160000,62.240002,62.240002,1130600
2018-12-13,62.860001,64.180000,62.020000,62.740002,62.740002,417500
2018-12-14,61.480000,64.690002,61.049999,64.419998,64.419998,786800
2018-12-17,64.099998,64.320000,57.360001,57.790001,57.790001,1267600
2018-12-18,58.919998,61.869999,58.125000,60.869999,60.869999,853500
2018-12-19,61.000000,63.669998,59.750000,61.009998,61.009998,880400
2018-12-20,60.099998,61.560001,52.009998,53.650002,53.650002,1852700
2018-12-21,54.360001,54.590000,49.160000,49.880001,49.880001,1598300
2018-12-24,48.750000,52.000000,48.340000,50.990002,50.990002,697600
2018-12-26,52.200001,57.480000,51.250000,57.480000,57.480000,1143600
2018-12-27,56.000000,59.790001,54.720001,59.599998,59.599998,1094000
2018-12-28,60.180000,60.609001,56.570000,58.400002,58.400002,706100
2018-12-31,59.490002,60.040001,58.110001,59.470001,59.470001,768000
2019-01-02,58.119999,59.478001,57.180000,58.520000,58.520000,748400
2019-01-03,57.000000,58.919998,56.240002,57.330002,57.330002,738400
2019-01-04,58.820000,63.200001,58.000000,62.380001,62.380001,1036700
2019-01-07,62.560001,67.709999,61.790001,67.639999,67.639999,1466500
2019-01-08,68.449997,70.470001,64.000000,65.980003,65.980003,1261000
2019-01-09,66.250000,66.839996,64.360001,65.559998,65.559998,699300
2019-01-10,64.830002,68.690002,64.180000,68.489998,68.489998,979000
2019-01-11,68.040001,70.110001,67.564003,69.080002,69.080002,1041700
2019-01-14,67.800003,68.074997,64.290001,64.980003,64.980003,1125800
2019-01-15,65.419998,69.449997,65.419998,69.019997,69.019997,829400
2019-01-16,69.199997,70.029999,66.894997,68.320000,68.320000,591400
2019-01-17,67.889999,72.040001,67.589996,70.809998,70.809998,821600
2019-01-18,71.809998,73.669998,70.011002,73.519997,73.519997,1264100
2019-01-22,72.519997,72.899002,71.099998,71.980003,71.980003,910400
2019-01-23,72.000000,72.599998,69.029999,71.209999,71.209999,787100
2019-01-24,71.199997,71.500000,70.290001,70.489998,70.489998,875500
2019-01-25,69.370003,71.000000,67.459999,69.900002,69.900002,1986900
2019-01-28,69.000000,70.739998,67.440002,70.029999,70.029999,796300
2019-01-29,67.709999,68.680000,67.470001,68.260002,68.260002,1318600
2019-01-30,69.050003,71.889999,68.805000,70.629997,70.629997,910500
2019-01-31,70.750000,74.239998,70.699997,71.150002,71.150002,1108500
2019-02-01,71.129997,71.740997,69.550003,70.480003,70.480003,1077600
2019-02-04,71.209999,73.099998,69.220001,69.559998,69.559998,999900
2019-02-05,70.150002,71.820000,69.769997,70.070000,70.070000,637200
2019-02-06,69.900002,70.400002,66.769997,68.239998,68.239998,992000
2019-02-07,67.279999,67.988998,65.339996,67.680000,67.680000,926500
2019-02-08,67.029999,69.959999,66.559998,69.889999,69.889999,714900
2019-02-11,68.160004,70.000000,66.199997,68.300003,68.300003,1325300
2019-02-12,69.080002,70.879997,68.949997,70.559998,70.559998,693100
2019-02-13,71.000000,71.510002,69.459999,70.209999,70.209999,838000
2019-02-14,69.160004,71.639999,68.769997,70.959999,70.959999,483500
2019-02-15,71.360001,71.980003,70.610001,71.910004,71.910004,860300
2019-02-19,71.970001,73.000000,71.269997,71.339996,71.339996,1070500
2019-02-20,71.500000,73.261002,70.820000,72.699997,72.699997,904700
2019-02-21,72.339996,72.955002,71.044998,71.940002,71.940002,583500
2019-02-22,72.250000,73.900002,72.150002,73.639999,73.639999,638400
2019-02-25,74.550003,75.070000,73.519997,74.120003,74.120003,686000
2019-02-26,78.010002,78.809998,74.779999,77.000000,77.000000,1664300
2019-02-27,77.000000,79.959999,76.779999,79.360001,79.360001,1820600
2019-02-28,75.000000,79.970001,70.910004,76.309998,76.309998,1885400
2019-03-01,78.139999,79.669998,73.370003,74.000000,74.000000,1897200
2019-03-04,74.000000,74.000000,66.910004,68.260002,68.260002,2199200
2019-03-05,68.430000,68.800003,64.519997,67.019997,67.019997,2193400
2019-03-06,67.180000,68.550003,65.910004,67.599998,67.599998,1198300
2019-03-07,67.589996,72.849998,67.320000,71.790001,71.790001,1967800
2019-03-08,70.000000,73.440002,68.500000,72.000000,72.000000,1146200
2019-03-11,72.680000,75.499001,72.000000,75.169998,75.169998,1102900
2019-03-12,75.110001,76.720001,74.230003,76.059998,76.059998,739300
2019-03-13,76.500000,77.629997,74.870003,75.500000,75.500000,1130900
2019-03-14,75.000000,76.320000,72.705002,75.370003,75.370003,1041900
2019-03-15,74.949997,75.580002,74.199997,74.370003,74.370003,1157600
2019-03-18,74.589996,76.720001,74.453003,76.019997,76.019997,1079200
2019-03-19,76.989998,77.959999,75.379997,77.870003,77.870003,1033500
2019-03-20,77.860001,81.764999,77.699997,81.000000,81.000000,1657700
2019-03-21,80.830002,85.680000,80.769997,85.669998,85.669998,1429500
2019-03-22,84.699997,85.279999,81.269997,81.970001,81.970001,1928900
2019-03-25,80.910004,83.480003,78.269997,83.089996,83.089996,1452700
2019-03-26,84.300003,84.779999,79.790001,81.480003,81.480003,1827500
2019-03-27,81.889999,82.510002,78.889999,82.080002,82.080002,1338900
2019-03-28,82.660004,84.239998,80.699997,83.849998,83.849998,1048700
2019-03-29,84.480003,85.049004,83.279999,83.870003,83.870003,787800
2019-04-01,84.779999,85.330002,82.000000,84.419998,84.419998,863900
2019-04-02,84.419998,85.000000,83.199997,84.760002,84.760002,773700
2019-04-03,85.660004,86.190002,84.489998,85.019997,85.019997,762500
2019-04-04,84.860001,85.459999,78.110001,81.809998,81.809998,1673800
2019-04-05,82.230003,83.000000,81.040001,81.199997,81.199997,908400
2019-04-08,80.730003,81.419998,78.281998,81.209999,81.209999,738000
2019-04-09,80.779999,82.278999,80.440002,80.660004,80.660004,704400
2019-04-10,80.870003,83.089996,80.660004,81.540001,81.540001,544600
